Date,Rating,Title,Content,Pros,Cons
2020-05-05,5,"Good place to workMaterial Handler 3 (Current Employee) - Fairfield, CA - May 5, 2020Working for Ball Corp gives me the opportunity to provide a nice way of life for my family.",Flexible work schedule makes it easier to have a decent vacation.,,
2020-04-22,3,"Ball is a good company to work forPlant Process Superintendent (Former Employee) - Goodyear, AZ - April 22, 2020Ball is a high volume producer of beverage cans and therefore it can be at times stressful.",Opportunities to travel are available. Good benefits and pay,Compensation,"Long hours, shift work"
2020-04-15,1,"Junk place to workLine tech (Former Employee) - Kapolei, HI - April 15, 2020Work too hard for low pay always have to watch line while doing  work  that other people should be doing .",Junk hours under staffed .. Hurry and make cans so they can sit in the warehouse for months,,
2020-04-11,1,"Don’t work thereDeco maintainer (Former Employee) - Fort Worth, TX - April 11, 2020At Ball in Fort Worth This was the most disorganized company that I’ve ever worked for, management is clueless and or doesn’t care.","The so-called training was joke, to nonexistent. It’s a hospital working environment, and you better wear knee pads if you want to work there. (Which I didn’t) Too much backstabbing going on there.",,
2020-03-31,5,"Healthy work environmentMachine Operator (Former Employee) - Springdale, AR - March 31, 2020I loved my coworkers we worked hard and would even hang out after work.",I would still want to work there if they weren't bankrupt. There schedule is unbeatable 4 on 4 off.,,
2020-03-26,4,"Ball is closingMachinist (Current Employee) - Springdale, AR - March 26, 2020Ball is closing their doors my last day is May 1, 2020; I have been with them for over 10 years.",Loyal and dedicated and I am willing to learn new things.,,
2020-03-13,5,"Amazing Place to WorkPackaging Operator (Former Employee) - Dandridge, TN - March 13, 2020This was by far my best job experience.","They truly treat their employees like family, often having company-wide cookouts, extensive breaks to insure safety, on-the-job training, pay raises, and opportunities to advance.","Training, safety, perks - they have it all.","It's very difficult to get a job there, and temporary layoffs may occur."
2020-03-10,1,"Don't work for this companyForklift Operator (Former Employee) - Elgin, IL - March 10, 2020The people you work with are ok.","Management would lie to your face continually. Ball has a way of shutting down plants,putting people out of work. They would sell out their own mothers to make a buck.",,
2020-03-09,2,"It's pays well, but itll suck the life out of you.","Maintenance Millwright (Former Employee) - Longview, TX - March 9, 2020Long hours and some times really hard work. It can be hard to balance home life. It was a good job overall until Ball bought our plant with promises of a bright future only to have them take our lively hood and send it away and send you to the house. Unfortunately, I didn't work for Ball during the good times, so my opinion is a little biased.",,
2020-03-07,4,"Good place to Work!Front End Mechanic (Former Employee) - Monticello, IN - March 7, 2020If you don’t mind working the pay is great.",12hr shifts that rotate from nights to days get annoying but that’s the only downside. Company promotes from within and appreciates what each employee contributes.,,
2020-03-02,5,,,,
2020-02-29,5,Outstanding employer.,"Quality Manager (Former Employee) - Wisconsin - February 29, 2020The company is profitable and invests both in people and equipment, in addition to acquiring other appropriate and relevant companies. With such attitude, job security is not a major concern.",,
2020-02-26,1,"Lied toStacker Operator (Former Employee) - Springdale, AR - February 26, 2020I worked for this company was laid off and promised by HR and the plant manager if any openings came up I'd get my job back.",Not only did I not get my job back I had 3 seperate interviews and was not hired back. They are not a trustworthy company and very hypocritical.  I worked hard everyday with very few absences.,,
